Genre,Poem
Sorrow,Depression is a cathedral where every stained glass window depicts your face
Death,"This place previously in a vision      Wet pen drawn at the lineA place religiously tied     religiously religiouslyA person, place or thingBring thy pebble or thy flowers or thy inscriptionBring bring bringeth your loveDear ones bringeth your loveAshes to treesThe trees!"
Environment,"Clumsy at first, fitting together the years we have been apart, and the ways.But as the night passed and the day came, the first fine morning of April,it came clear: the world that has tried us and showed us its joywas our bond when we said nothing. And we allowed it to bewith us, the new green shining."
Death,"Lo! Death has reared himself a throneIn a strange city lying aloneFar down within the dim West,Wherethe good and the bad and the worst and the best"
Sorrow,"I collect your voice in glass jars, but the syllables fade like distant stars"
Environment,"1 The cathedral being builtaround our split level house was so airy, it stretchedso high it was like a cloud of graniteand marble light the house rose up inside. At the time I didn’t notice masons laying coursesof stone ascending, flying buttressespushing back forces that would"
Sorrow,I wear your old shirts as bandages over invisible wounds
Sorrow,I still buy your favorite tea though it gathers dust
Music,In the mercy of the more hollow sisterA serene fog of moons sprinkled with plum the vexed haint of Quasimoto is patient her tongue leaps from her mouth like a tombstone three times Smooth as ashher favorite word is 'apothecary' the bliss in me like the interior of a melting fear as she moves
Environment,The river tongues every stone smooth as a mother's worry
Music,The pipe organ exhales its dusty breath through the cathedral's stone lungs
Death,"To Certain Poets About to DieTake your fill of intimate remorse, perfumed Sorrow,Over the dead child of a millionaire,And the pity of Death refusing any check on the bankWhich the millionaire might order his secretary to scratch offAnd get cashed.  Very well,You for your grief and I for mine.Let me"
Sorrow,"Your toothbrush stands at attention in the holder, still waiting"
Death,for my grandfatherWe don’t have heirlooms. Haven’t owned things long enough. We’re hoarding us in our stories.
Environment,The avalanche writes its will in exclamation marks of snow
Music,"My brother, wanting to off himself, Took rope into a summer park. Rope, plus a knife For cutting it: a serrated hawkbill, Cushioned grip, with two-inch Curved, ignoble blade The manufacturers in their cruelty call A lightweight Meadowlark. Cruel because the meadowlark Is calm. They’re calm This morning. Sure, they shaggle the corn a bit, But"
Death,"Should the painful condition of irreversible paralysis last longer than forever or at least until your Death by bowling ball or illegal lawn dart or the culture of Death, which really has it out for whoever has seen better days but still enjoys bruising marathons of bird watching, you, or your beleaguered caregiver stirring dark witch's brews"
Sorrow,"Your toothbrush stands guard in the cup, still waiting"
Environment,The book is made of glass and I lookthrough it and see more books. Many glass books.Is someone speaking?     A muffled voice is telling meto make soup which I thinkmeans I am loved. What other kind of cupfills itself? Can there be a cup of cup?A cup
Affection,Your laughter is my favorite form of time travel
Environment,The lightning stitches the sky's black fabric with temporary thread
Environment,"And I behold once moreMy old familiar haunts; here the blue river,The same blue wonder that my infant eyeAdmired, sage doubting whence the traveller came,—Whence brought his sunny bubbles ere he washedThe fragrant flag-roots in my father’s fields,And where thereafter in the world he went.Look, here he is, unaltered, save"
Sorrow,I press your old letters to my skin hoping the ink will seep back into you
